"V","PE"
62.96,454.65
35.71,467.61
62.96,449.48
69.75,435.56
52.05,457.57
58.33,445.9
45,482.34
68.31,448.58
41.55,475.46
38.62,463.17
48.6,446.56
41.54,476.97
51.19,446.66
64.27,446.62
49.02,446.63
65.12,447.85
42.03,466.2
49.21,449.66
47.83,454.47
58.33,438.82
63.9,443.61
63.31,446.7
39.53,457.17
65.61,447.05
40.55,461.58
42.34,464.79
44,466.24
39.04,483.66
62.08,447.06
70.02,445.31
74.99,437.65
67.07,437.76
60.37,438.09
74.33,428.54
60.29,455.51
60.23,438.95
43.67,477.32
43.67,475.08
41.66,475.51
71.73,430.79
71.77,427.77
74.16,439.2
63.73,448.56
69.98,432.44
59.87,447.26
49.02,442.47
42.32,466.15
39.85,478.37
41.04,469.53
41.17,473.84
74.93,442.23
45.51,474.45
60.77,448.58
69.05,440.97
65.34,445.82
65.61,443.88
65.59,441.08
58.95,452.1
46.21,455.35
49.83,462.46
39.61,476.92
62.44,442.47
60.32,448.84
68.84,440.45
64.44,437.61
44.84,464.88
63.86,447.26
38.73,467.96
40.05,471.49
68.08,433.46
66.86,454.85
35.76,473.33
43.8,477.22
74.22,441.66
50.66,457.74
66.91,440.52
67.79,440.74
71.85,438.2
74.16,431.17
66.44,430.11
48.14,457.44
67.45,430.8
39.18,469.62
69.05,435.1
45,472.55
57.19,443.62
56.89,453.83
67.25,433.71
44.85,475.33
70.32,430.48
45.01,452.21
50.78,445.09
41.74,480.84
38.28,466.51
42.99,470.82
68.08,436.51
45,482.63
65.27,440
61.25,436.67
72.99,431
43.13,481.09
52.72,467.23
39.58,465.67
72.51,443.72
51.3,451.11
44.06,458.5
44.47,465.93
74.87,435.51
39.64,477.22
74.78,436.87
39.72,459.06
59.21,445.22
71.29,430.42
49.83,466.08
70.32,436.16
43.56,479.64
63.94,443.58
70.4,430.05
47.43,448.65
41.67,455.5
65.94,442.69
47.43,442.96
41.54,481.59
36.24,483.12
38.73,472.46
41.46,481.46
39.61,480.38
43.69,477.74
43.71,465.49
43.79,484.21
39.72,455.29
69.89,436.02
41.58,463.03
39.35,469.02
41.85,466.56
50.05,436.75
70.8,433.1
73.21,433.53
69.59,437.95
40.71,471.38
70.47,435.05
74.16,434.88
45.87,479.91
44.63,472.45
40.27,477.8
54.3,467.05
37.5,471.05
39.54,458.75
75.08,439.14
71.32,436.95
71.77,434.6
51.43,441.45
69.71,446.17
65.48,451.94
53.82,458.25
67.07,446.05
59.57,442.88
60.08,452.5
56.57,445.44
44.92,470.82
43.77,458.66
59.27,440.3
70.32,428.42
69.89,426.79
61.02,437.06
69.88,434.75
40.83,472.36
69.84,426.69
77.95,430.87
60.08,451.01
59.14,438.83
80.18,432.35
69.51,433.89
39.04,483.3
70.98,437.55
69.94,446.87
39.28,471.91
60.29,449.79
69.13,426.9
44.34,464.13
41.38,491.38
73.68,426.46
59.92,438.22
71.14,430.12
36.3,480.31
46.93,455.63
71.85,429.15
46.21,451.75
64.27,441.68
49.82,454.2
69.84,436.7
42.28,474.97
51.43,456.25
73.77,431.24
41.01,465.8
42.28,463.29
62.1,453.5
37.8,481.51
40.72,483.92
72.43,428.88
66.54,441.9
40.6,473.76
70.72,436.9
60.29,444.71
41.1,458.94
51.19,445.35
49.5,454.44
70.32,434.24
69.13,425.48
73.18,432.82
40.8,477.49
70.32,434.76
69.23,436.96
58.05,447.28
40.03,470.88
76.09,430.81
25.36,471.19
68.51,440.01
41.23,463.09
41.7,454.14
41.35,467.96
61.5,445.77
73.17,434.43
41.79,461.12
70.02,442.51
38.08,478.31
39.72,471.33
44.88,476.67
43.79,468.87
50.16,451.38
58.95,446.7
52.84,449.59
42.77,466.75
40.66,458.26
34.03,471.55
36.71,471.46
45.87,464.5
40.92,460.95
48.06,443.67
73.77,430.32
73.9,433.09
66.44,430.7
44.68,478.66
65.48,446.37
61.45,445.21
35.4,468.94
47.83,458.18
73.17,431.23
66.93,447.06
40.35,484.19
76.86,433.35
45.01,474.32
36.43,474.17
74.22,440.46
59.92,443.93
40.75,479.2
66.44,429.99
65.94,446.34
60.77,442.25
74.87,439.93
65.06,439.84
42.18,464.81
63.07,442.25
42.85,477.78
50.78,446.57
46.93,448.27
36.66,480.38
55.5,455.79
45.87,476.61
38.28,472.11
43.7,466.73
74.22,430.72
38.28,465.64
68.27,430.81
51.3,450.25
72.99,438.51
46.33,452.11
70.47,434.59
65.06,440.09
70.32,427.21
43.7,469.5
38.91,483.56
59.92,437.9
68.28,450.33
61.5,437.35
64.84,442.11
65.27,440.75
62.26,436.36
65.06,442.18
40.23,475.9
68.51,429.38
40.69,476.71
59.04,443.06
73.17,435.66
74.16,431.47
65.74,438.47
75.6,440.05
60.07,444.71
41.03,484.96
39.64,481.29
41.16,464.12
52.75,457.92
42.04,465.64
44.92,457.53
41.58,464.07
43.14,479.95
40.89,464.95
69.98,435.36
58.66,457.89
40.73,459.23
69.34,433.99
67.71,445.39
57.17,442.03
67.45,431.97
40.27,477.38
39.28,471.23
73.68,429.84
68.61,440.58
56.85,439.55
66.25,440.74
41.23,467.84
39.42,488.58
59.21,446.04
63.31,454.78
68.08,436.25
65.59,447.28
66.51,432.88
43.34,462.16
41.74,478.06
73.03,439.81
76.2,434.01
52.84,444.64
41.66,477.53
63.87,452.21
71.94,429.02
74.33,428.87
38.38,477.73
40.72,477.52
44.78,456.83
70.98,441.99
42.86,471.73
36.71,477.62
58.62,447.49
50.32,446.22
42.32,473.59
38.18,484.45
41.16,465.72
68.27,427.67
40.22,478.02
52.08,451.94
64.05,444.82
45.17,461.96
49.16,443.02
68.63,447.12
67.25,433.13
64.15,453.94
41.23,459.1
40.71,471.68
62.52,449.87
39.72,456.87
42.18,477.38
64.44,448.51
39.4,488.63
41.93,471.97
39.61,480.07
44.85,464.66
56.03,437.14
40.55,474.67
44.3,444
46.48,462.58
69.14,437.75
42.86,469.52
63.09,450.98
43.67,473.26
70.8,434.08
42.07,488.36
43.77,457.66
42.07,485.24
38.56,480.47
37.2,467.44
71.32,433.15
66.51,439.48
69.04,442.24
59.15,449.48
62.91,449.77
41.17,486.15
45.08,466.79
41.26,471.93
48.14,456.57
69.68,449.54
49.69,455.69
61.45,443.82
42.18,456.04
69.23,435.06
35.79,483.08
71.14,432.09
41.04,456.21
69.98,432.25
59.8,452.96
40.92,462.07
58.96,461.15
63.13,441.81
47.93,443.55
41.06,486.4
41.16,463
41.16,477.8
68.14,438.79
60.1,452.57
72.24,437.41
43.72,453.02
70.36,431.26
43.71,463.44
40.89,471.15
52.36,454.13
44.85,466.17
70.72,437.95
47.03,458.59
44.9,457.44
40.05,472.68
41.16,463.47
44.71,470.77
59.57,440.67
43.69,471.6
40.64,479.88
41.44,471.61
77.95,433.4
71.14,454.16
67.45,438.99
39.3,471.48
43.43,451.08
43.13,466.74
77.3,438.05
40.35,475.42
38.56,485.95
45.61,454.92
69.98,431.09
40.89,464.33
68.28,444.86
50.9,460.14
41.82,480.08
60.75,435.14
37.5,474.24
66.49,441.92
60.23,438.24
69.34,433.57
76.2,435.97
52.75,469.9
64.44,440.1
36.18,480.63
69.89,438.29
61.41,448.83
25.88,460.97
40.92,467.31
56.53,455.52
40.62,475.42
42.03,466.71
42.77,462.67
70.32,437.16
38.73,465.99
60.95,444.19
39.99,464.95
77.54,440.21
40.55,472.45
72.99,432
45.01,464.59
40.07,494.43
41.26,465.78
58.16,458.61
69.13,431.53
41.04,461.61
52.3,444.5
70.94,436.6
43.8,466.59
70.02,439.35
50.88,456.28
39.28,476.49
72.58,431.18
43.22,464.62
70.72,443.25
57.85,445.37
39.85,472.5
39.96,472.79
39.35,478.52
40.27,494.24
63.76,439.56
47.45,447.78
68.67,447.01
41.5,476.24
75.6,442.2
51.95,449.73
71.06,433.75
48.14,451.9
39.64,472.95
72.29,430.58
38.52,453.89
45.01,454.4
63.91,441.93
40.75,474.97
69.05,437.42
60.27,446.86
68.67,436.58
41.01,466.05
40.6,472.04
73.5,432.13
36.18,477.26
77.54,438.52
70.32,443.04
63.76,438.15
52.08,449.96
65.18,437.17
56.9,436.17
47.43,447.36
52.84,437.39
42.74,466.34
76.09,441.36
36.24,482.46
60.93,443.01
41.62,463.57
44.85,470.92
65.46,452.12
49.15,458.78
58.86,450.33
77.3,438.43
56.9,445.61
71.22,443.01
38.16,473.32
40.55,473.51
65.27,445.19
44.6,466.36
59.54,440.13
69.14,436.89
44.34,468.84
66.56,433.25
54.2,440.74
65.59,449.84
59.21,436.33
38.58,462.54
75.6,439.14
48.92,461.34
54.42,450.48
39.69,474.29
41.01,472.82
42.74,465.81
69.13,425.74
75.6,439.68
39.81,484.51
41.26,473.57
44.34,470.98
43.5,459.77
60.23,444.98
40.62,464.9
67.25,453.27
71.32,437.47
41.58,466.05
69.13,425.98
63.13,447.4
68.67,434.28
35.47,488.03
56.89,440.79
48.41,441.21
66.54,436.57
42.85,478.94
37.14,475.77
25.88,461.86
38.5,488.43
40.07,495.35
52.08,450.72
75.23,439.33
40.66,466.95
59.57,436.92
41.92,480.99
41.49,469.57
41.93,469.68
71.29,433.07
41.16,464.93
40.56,483.39
73.18,431.36
42.86,475.09
66.44,438.28
40.1,479.58
25.36,470.9
49.5,455.31
52.05,455.02
60.32,446.88
41.62,463.86
63.77,444.07
74.67,435.9
49.83,466.33
43.43,448.06
65.46,448.67
61.87,446.62
50.66,457.28
39.4,484.33
62.26,430.19
73.18,430.31
44.06,464.91
35.77,481.44
39.4,468.63
38.68,485.7
47.83,453.9
59.14,448.69
41.67,460.33
41.31,487.35
42.74,474.75
41.39,472.19
40.55,475.14
37.92,472.9
43.77,456.41
70.72,441.68
65.12,452.86
57.76,454.66
45.38,461.87
51.43,450.53
70.02,437.63
62.1,452.2
71.37,433.45
41.17,481.18
57.5,452.28
56.85,436.44
39.18,469.34
67.69,439.84
61.86,438.25
41.48,458.19
61.41,452.24
73.56,440.29
40.78,470.82
41.66,469.93
57.5,449.01
39.96,475.79
59.21,445.29
39.53,460.1
40.55,460.97
73.06,430.37
49.3,438.17
39,465.32
35.47,488.67
39.54,462.12
42.99,472.04
38.08,485.49
45.08,466.47
36.71,465.85
39.64,471.89
37.8,483.94
39.33,494.91
76.09,433.34
69.75,437.87
40.62,481.66
43.41,466.99
58.49,456.29
69.14,436
58.16,452.83
48.78,440.96
50.9,460.35
41.35,466.27
63.09,446.75
41.16,468.87
69.13,432.36
42.04,464.13
59.54,445.22
64.45,454.9
69.94,440.69
41.93,477.93
49.69,453.54
73.18,427.04
40.81,476.32
68.28,444.95
37.87,465.41
40,478.86
72.43,429.62
41.79,454.72
79.74,430.12
69.23,440.56
74.22,432.84
73.18,429.84
44,460.33
37.5,473.75
73.88,434.48
64.45,444.28
67.79,439.87
41.38,474.94
71.29,431.96
51.95,447.7
62.1,451.8
74.67,430.88
57.43,445.41
67.07,435.57
60.95,445.44
66.75,437.93
68.14,429.64
49.16,441.2
40.22,477.23
62.1,450.57
71.73,431.93
43.65,482.57
71.43,443.75
59.27,444.19
39.37,488.2
59.14,450.06
39.58,467.32
65.38,446.23
62.96,453.58
73.21,431.59
43.5,471.41
77.95,433.39
65.12,446.44
35.57,486.06
63.56,444.1
60.08,452.56
42.99,469.23
41.76,464.23
37.14,473.66
65.61,442.48
64.33,442.32
50.23,453.56
68.27,432.96
68.14,440.22
42.77,462.03
70.94,434.73
59.57,446.5
44.57,445.09
41.78,465.87
60.1,452.93
44.6,467.53
39.54,458.58
58.33,449.26
60.84,441.58
46.93,453.66
44.45,471.32
42.85,482.98
66.49,453.08
49.82,455.28
72.43,427.61
40,462.1
39.85,477.17
56.65,457.01
45.01,451.62
38.16,475.51
49.16,439.65
41.54,477.75
65.46,444.66
39.3,483.17
66.49,436.62
40.02,481.38
64.69,440.92
44.9,472.01
41.01,477
39.16,470.39
72.24,434.21
44.63,459.65
51.43,444.88
59.43,440.66
44.9,453.12
58.66,454.54
49.21,458.25
39.31,462.72
69.04,441.18
40.77,480.59
69.48,445.81
39.33,492.39
59.8,451.21
71.29,442.27
65.71,444.49
37.49,481.88
65.94,439.63
58.49,445.6
39.39,463.72
60.84,443.99
42.86,468.88
40.64,476.62
77.95,431.58
38.38,478.03
35.77,480.38
45.87,479.48
44.45,462.6
40.2,464.17
59.27,446.2
60.07,454.35
73.68,432.93
40.43,490.02
41.38,490.57
44.85,476.87
43.7,470.88
54.9,454.1
36.3,438.63
49.64,457.8
68.61,446.33
41.76,466.59
44.9,470.59
46.9,461.73
41.17,486.76
36.99,464.38
43.72,473.05
59.21,444.44
62.91,444.61
35.71,469.32
67.83,433.13
58.82,444.14
79.74,436.12
66.48,436.62
70.32,442.5
41.17,475.61
39.64,485.2
67.17,438.04
57.76,452.57
78.05,430.55
70.94,439.91
41.54,479.33
63.94,444.53
41.4,474.28
66.86,438.26
40.1,467.32
47.45,447.06
40.23,478.05
68.31,441.13
44.77,463.11
45.87,482
41.44,481.75
39.48,484.91
67.71,449.73
49.15,453.87
69.88,432.25
71.14,434.72
54.2,442.6
50.9,456.4
60.23,441.08
69.84,437.49
71.29,442.21
71.25,431.28
44.63,473.86
50.78,447.69
40.03,480.38
57.76,453.64
68.3,437.28
47.01,452.64
67.17,440.02
38.25,469.29
71.98,429.2
61.5,441.16
44.9,452.77
40.8,475.59
68.63,454.5
41.82,477.67
75.23,434.1
45.08,469.55
69.94,437.32
50.78,447.58
74.78,444.6
69.13,427.5
77.54,430.55
40.67,484.5
70.94,446.31
41.38,476.87
52.75,459.85
60.23,437.82
49.39,458.53
57.19,445.95
43.14,465.38
72.99,436.29
68.84,439.9
73.56,432.51
43.14,459
42.28,465.52
65.18,436.99
41.67,462.74
65.27,440.04
58.59,451.05
38.5,491.23
48.6,438.61
62.1,451.06
47.24,457.94
40.22,476.49
40.75,472.5
41.48,463.97
43.13,485.04
41.48,469.8
60.84,446.08
45.87,480.97
40.64,476.29
68.63,448.43
70.04,435.47
73.42,434
42.07,485.67
46.93,446.3
40,481.58
72.58,428.73
35.47,486.86
41.22,485.73
42.34,474.91
72.58,437.8
39.9,486.03
41.06,481.47
67.69,429.8
71.98,426.98
76.09,431.69
40.46,474.79
74.99,430.82
40.64,485.27
74.33,433.49
39.33,491.37
41.17,486.76
42.18,469.03
41.35,463.57
36.71,474.2
44.05,449.6
58.62,448.09
58.05,447.93
40.56,482.36
40.78,463.54
70.32,431.93
69.48,430.54
44.63,456.72
41.14,479.06
70.47,434.24
41.16,474.57
39.28,478.8
51.3,450.18
41.66,485.03
38.44,486.84
39.72,470.18
49.3,442.76
51.43,449.45
69.34,435.32
40.03,480.59
43.02,466.01
56.53,452.5
63.9,449.61
49.02,446.46
72.58,431.27
70.98,440.81
71.58,430.46
49.39,451.97
40.22,482.3
39.69,469.6
61.08,446.05
44.58,473.22
39.54,481.44
57.32,443.94
61.5,436.92
58.33,447.31
72.39,430.85
40.8,488.54
45.87,463.1
58.33,448.93
42.77,463.65
49.02,443.31
71.29,430.28
57.17,446.05
42.02,472.41
39.69,471.61
34.03,469.12
66.51,437.21
42.04,464.14
51.43,442.28
69.45,437.04
42.04,466.24
41.54,476.74
70.4,430.14
41.4,467.4
70.98,438.73
